"Summary","Issue Type","Epic Name","Epic Link","Description","Component","Labels","Labels","Labels","Labels"
"AI Lab: decision tree model","Epic","AI Lab: decision tree model","","h3. Why
AI Lab has one machine learning algorithm: k-nearest neighbors. A student cannot compare two algorithms. A student also cannot read the model. A kd-tree is not legible. A shallow decision tree is legible, and a student can draw one by hand.

AI Lab also has no interface that lets you add a second algorithm. This epic adds the interface. It then adds the first algorithm that uses the interface.

h3. Terms
* A {{sweep}} is a search over candidate hyperparameter values. The trainer trains one model for each candidate, then keeps the most accurate model.
* A {{characterization test}} records the current behavior of the code, so that a later change cannot alter that behavior without a test failure.

h3. How this epic is split
* One ticket is one PR. Each ticket gives its branch and its merge order.
* Four tickets produce no PR: two decisions and two manual QA passes. Each of these tickets says so at the top of its description.
* Three tickets depend on nothing else in the epic. You can start them immediately: the App Lab hyperparameters reader, the {{ml-cart}} dependency, and the {{parseInt}} bug fix.
* Phases 1 to 3 are the first release. Phases 4 to 6 come after it: a student-set depth, removal of the legacy {{kValue}} write, and the tree visualization panel.

h3. Scope
* Lab2 only. Lab1 AI Lab uses a different copy of the machine learning code ({{@code-dot-org/ml-playground}}, in a different repository). That copy keeps KNN only.
* You do not need new localization strings.

h3. Writing convention
These tickets and the openspec documents use ASD-STE100. The specification files keep the RFC-2119 verb {{SHALL}}, because the openspec schema and the other openspec change in the repository use it.

h3. Reference
Full spec: {{openspec/changes/ailab-decision-tree/}} (proposal.md, design.md, tasks.md, specs/)","AI Lab","ailab","ailab-decision-tree","",""
"Retire the legacy kValue write","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/retire-kvalue-write}}
*Merge order:* 18
*Blocked by:* Add the hyperparameters field to the saved model

h3. Why
A KNN model currently writes both `hyperparameters.k` and the top-level `kValue`. Once the reader has been deployed for a release, you can remove the duplicate write.

This ticket removes the WRITE only. The reader's fallback stays, permanently. Stored models stay in S3 forever. Every model saved before `hyperparameters` existed carries only `kValue`. App Lab projects refer to those models by id for years. If you remove the fallback read, a student's working project stops working.

h3. Scope
* Remove the `kValue` write from `getTrainedModelDataToSave`, and the field from `ModelDataToSave`.
* Leave the fallback read in `apps/src/MLTrainers.js`. Add a comment stating why it cannot be removed: stored models are permanent.
* Update the characterization test for the `kValue` field on a saved model.
* Out of scope: a backfill that rewrites stored models to add `hyperparameters`. A backfill would let you remove the fallback. It also rewrites student work in S3, and no user sees a result.

h3. Files
* {{frontend/packages/labs/ailab/src/redux.ts}}
* {{frontend/packages/labs/ailab/src/types.ts}}
* {{apps/src/MLTrainers.js (comment only)}}
* {{frontend/packages/labs/ailab/test/unit/}}

h3. Acceptance criteria
* A newly saved KNN model carries `hyperparameters` and no `kValue`.
* A model saved before the field still predicts correctly in App Lab.
* The fallback read is still present, with a comment explaining why.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks.md follow-ups; design.md Decision 5)","AI Lab","ailab","ailab-decision-tree","ailab-cleanup",""
"Add ml-cart and its hand-written types","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/add-ml-cart}}
*Merge order:* 10 (independent — you can start now)
*Blocked by:* nothing

h3. Why
`ml-cart` is the mljs CART implementation, from the same family as `ml-knn`. It ships no TypeScript types.

This lands as its own PR so the dependency and the hand-written types are reviewed and installed on their own. It depends on nothing. You can do it early, at the same time as other work.

h3. Scope
* Add `ml-cart` at the exact version 2.1.1 to `frontend/packages/labs/ailab/package.json` and to `apps/package.json`.
* Use the exact version, not a caret range. This departs from the neighboring `ml-knn` entries, which both use `^3.0.0`. The types are hand-written here, and a minor bump can silently invalidate them.
* Add an `ml-cart` declaration block to `src/declarations.d.ts`, patterned on the existing `ml-knn` block. Declare `DecisionTreeClassifier` and `DecisionTreeRegression`, each with `train`, `predict`, `toJSON` and a static `load`.
* Type `predict` as taking `number[][]` and returning `number[]`. A flat array throws at runtime, so the type must not allow one.

h3. Files
* {{frontend/packages/labs/ailab/package.json}}
* {{apps/package.json}}
* {{frontend/packages/labs/ailab/src/declarations.d.ts}}

h3. Acceptance criteria
* `typecheck` passes with the new types.
* The declared options are `gainFunction`, `splitFunction`, `minNumSamples`, `maxDepth` and `gainThreshold`.
* The lock file updates in the same PR.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 3.1-3.2a)","AI Lab","ailab","ailab-decision-tree","ailab-decision-tree-impl",""
"Implement DecisionTreeTrainer with a maxDepth sweep","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/decision-tree-trainer}}
*Merge order:* 11
*Blocked by:* Add ml-cart and its hand-written types; Remove the Redux round-trip from the k sweep

h3. Why
This is the feature. A student can read a shallow decision tree. A student cannot read a kd-tree.

This PR includes the tests. Do not put them in a later PR. A reviewer cannot approve a trainer that has no tests.

h3. Scope
* Add `src/trainers/DecisionTreeTrainer.ts` implementing `Trainer`.
* Pick `DecisionTreeClassifier` or `DecisionTreeRegression` from `isRegression(state)`.
* Sweep `maxDepth` over [1, 2, 3, 5, 8]. Grade each tree with `gradeAccuracy`, and keep the most accurate.
* On equal accuracy keep the LOWER depth. This differs from the `k` sweep, which keeps the first highest scorer. A shallow tree is the reason to offer a tree at all.
* Pass `minNumSamples: 1`, not the library default of 3. Measured on a 9-row training set, the default misclassifies training rows that 1 classifies correctly. AI Lab datasets are small. A large minimum leaf size makes a tree that has only one leaf.
* Record `{maxDepth, minNumSamples}` in `hyperparameters`. Write no `kValue`.
* Register the trainer under the `decisionTree` family, mapping to `treeClassify` and `treeRegress` by label column type.
* Test the full flow with the `train.test.js` pattern.
* Test the tie-break: equal accuracy at two depths stores the shallower tree.
* Test that a regression prediction can fall between observed label values.
* Test the JSON round-trip for both tree kinds.

h3. Files
* {{frontend/packages/labs/ailab/src/trainers/DecisionTreeTrainer.ts (new)}}
* {{frontend/packages/labs/ailab/src/trainers/ (registry)}}
* {{frontend/packages/labs/ailab/test/unit/}}

h3. Acceptance criteria
* Two depths with equal accuracy store the shallower tree.
* A regression prediction is asserted to be a value present in no training label.
* The round-trip test asserts identical predictions before and after serialization.
* The trainer is unreachable from any level until the next ticket lands. That is expected.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 4.1-4.8)","AI Lab","ailab","ailab-decision-tree","ailab-decision-tree-impl",""
"Select the trainer from the level mode JSON","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/mode-trainer-field}}
*Merge order:* 12
*Blocked by:* Implement DecisionTreeTrainer with a maxDepth sweep

h3. Why
A level chooses the algorithm. This is the PR that makes the tree reachable. You do not need a new level editor control. `_ailab.html.haml` already shows a free-form Mode JSON text area and the Lab2 checkbox.

h3. Scope
* Add `trainer?: 'knn' | 'decisionTree'` to the `Mode` interface.
* Read `mode.trainer` in `train.ts` when building the trainer. An absent value gives `knn`.
* An unrecognized value logs a warning and falls back to `knn`. A typo in hand-edited level JSON must not give a student a blank lab. Test it.

h3. Files
* {{frontend/packages/labs/ailab/src/types.ts}}
* {{frontend/packages/labs/ailab/src/train.ts}}

h3. Acceptance criteria
* All 189 existing levels, none of which set the field, behave as before.
* A level with `""trainer"": ""decisionTree""` trains a tree.
* A test covers the unknown-value fallback.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 5.1-5.2a)","AI Lab","ailab","ailab-decision-tree","ailab-decision-tree-impl",""
"Add the decision tree branch to MLTrainers.predict","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/mltrainers-decision-tree}}
*Merge order:* 13
*Blocked by:* Add ml-cart and its hand-written types

h3. Why
A student trains a tree in a Lab2 AI Lab level, then predicts from it in App Lab. Every App Lab prediction routes through this file, so the feature is incomplete without the branch. The change is additive, so no Lab1 behavior changes.

h3. Scope
* Add the `treeClassify` and `treeRegress` branch. Reload with the matching static `load`.
* Wrap the feature row in an array for `predict`, and unwrap the single result. The existing KNN call passes a flat array, which `ml-cart` rejects with `TypeError: Data must be a 2D array with at least one element`.
* Catch the `RangeError` that `load` raises when `model.name` does not match the algorithm. Return the existing prediction error string. A corrupt blob must not break a running App Lab program.

h3. Files
* {{apps/src/MLTrainers.js}}

h3. Acceptance criteria
* A saved KNN blob and a saved tree blob both predict correctly.
* An unknown trainer id still returns 'Error: unknown trainer'.
* A mismatched blob returns the error string and throws nothing.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 5.3-5.3b, 5.5)","AI Lab","ailab","ailab-decision-tree","ailab-decision-tree-impl",""
"Fix the parseInt truncation in convertTestValue","Bug","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/fix-parseint-truncation}}
*Merge order:* 14 (independent — you can start now)
*Blocked by:* nothing

h3. Why
`convertTestValue` in `apps/src/MLTrainers.js` ends with `parseInt(convertedValue)`. The lab trains on the result of `parseFloat`. So every continuous feature value is truncated at prediction time: a temperature of 72.8 trains as 72.8 and predicts as 72.

This is a live defect in KNN prediction today, not a decision tree problem. It depends on nothing in this epic and can ship at any point. A tree makes the result worse. If a threshold is between two integers, the truncated value goes down the other branch.

h3. Scope
* Change `parseInt` to `parseFloat`.
* A categorical value still resolves through `featureNumberKey` first, so its integer is unaffected.
* Call the fix out in the PR description. It changes prediction results on existing levels.

h3. Files
* {{apps/src/MLTrainers.js}}

h3. Acceptance criteria
* A feature value of 72.8 reaches the model as 72.8.
* A categorical feature value still resolves to its integer.
* Tests cover both cases.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec tasks 5.4, 5.4a)","AI Lab","ailab","ailab-decision-tree","ailab-decision-tree-impl",""
"Accept an externally set tree depth","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/external-tree-depth}}
*Merge order:* 16
*Blocked by:* Implement DecisionTreeTrainer with a maxDepth sweep

h3. Why
The sweep picks the depth today. A level-set depth and a student-set depth both need the trainer to accept one and skip the sweep. Add this behavior once, before either caller exists. The student control is then only a user interface change.

h3. Scope
* Add `maxDepth?: number` to the `Mode` interface.
* When a depth is supplied, train one tree at that depth and skip the sweep.
* When none is supplied, sweep exactly as now.
* Widen `hyperparameters` to `Record<string, number | string>` and record where the depth came from: `sweep`, `level`, or later `student`. A number-only map cannot hold it, and the model card needs to say which.
* Reject a non-integer or a depth below 1: log a warning and fall back to the sweep. Level JSON is hand-edited.

h3. Files
* {{frontend/packages/labs/ailab/src/types.ts}}
* {{frontend/packages/labs/ailab/src/train.ts}}
* {{frontend/packages/labs/ailab/src/trainers/DecisionTreeTrainer.ts}}
* {{frontend/packages/labs/ailab/src/redux.ts}}

h3. Acceptance criteria
* A level with `mode.maxDepth` trains exactly one tree, at that depth.
* A level without it sweeps, and its saved model is unchanged.
* An invalid value warns and sweeps.
* The saved model records the depth source.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec design.md Decision 4)","AI Lab","ailab","ailab-decision-tree","ailab-depth-control",""
"Let a student choose the tree depth","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/student-depth-control}}
*Merge order:* 17
*Blocked by:* Accept an externally set tree depth

h3. Why
Depth is the control that teaches the lesson. A student who moves it and watches accuracy change sees overfitting happen. The sweep prevents this, because it selects the depth for the student.

h3. Scope
* Agree three points with curriculum before you build. The design records them as an open question.
* Point 1: where the control sits in the flow.
* Point 2: the range of depths a student can choose.
* Point 3: whether accuracy updates on each change, or only on an explicit retrain.
* Add a `mode` opt-in, so only levels that ask for the control show it.
* Add the control to the train step, and retrain on change.
* Record the depth in `hyperparameters` with source `student`.
* Keep the sweep as the default for every level that does not opt in.

h3. Files
* {{frontend/packages/labs/ailab/src/types.ts}}
* {{frontend/packages/labs/ailab/src/UIComponents/TrainModel.tsx}}
* {{frontend/packages/labs/ailab/src/redux.ts}}

h3. Acceptance criteria
* Levels without the opt-in are unchanged.
* Changing the depth retrains, and the reported accuracy moves.
* The saved model records the student's depth and marks it student-set.
* The control is keyboard reachable and labelled.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec design.md Open Questions)","AI Lab","ailab","ailab-decision-tree","ailab-depth-control",""
"Author the Lab2 decision tree levels","Task","","AI Lab: decision tree model","*Delivers:* one PR — {{ailab/decision-tree-levels}}
*Merge order:* 15
*Blocked by:* Select the trainer from the level mode JSON; Confirm the sweep depths and choose a dataset with curriculum

h3. Why
No student sees the feature until Lab2 levels exist. Only 3 of 189 AI Lab levels currently set `uses_lab2`, and all three are internal test levels.

h3. Scope
* Set `uses_lab2` on each new level.
* Put `""trainer"": ""decisionTree""` in the level's Mode JSON.
* The level editor already has both controls. You do not need to change the editor.

h3. Files
* {{dashboard/config/levels/custom/ailab/}}

h3. Acceptance criteria
* Each new level loads the Lab2 AI Lab view.
* Each new level trains a decision tree.

h3. Reference
Spec: {{openspec/changes/ailab-decision-tree/}} (openspec task 6.3)","AI Lab","ailab","ailab-decision-tree","ailab-levels-qa",""
